sample_index,problem_index,problem_version,question,answer,question_type,metadata,query_wo,query_cot,question_for_eval,path,prompt,type
4,1,Vision Dominant,"As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°","As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",images/mathverse_images/image_4.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",mathverse_cot
9,2,Vision Dominant,"As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°","As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",images/mathverse_images/image_9.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",mathverse_cot
14,3,Vision Dominant,"As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°","As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",images/mathverse_images/image_14.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",mathverse_cot
19,4,Vision Dominant,"As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°","As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",images/mathverse_images/image_19.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",mathverse_cot
24,5,Vision Dominant,"As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°","As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",images/mathverse_images/image_24.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",mathverse_cot
29,6,Vision Dominant,"As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°","As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",images/mathverse_images/image_29.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",mathverse_cot
34,7,Vision Dominant,"As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°","As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",images/mathverse_images/image_34.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",mathverse_cot
39,8,Vision Dominant,"As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm","As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",images/mathverse_images/image_39.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",mathverse_cot
44,9,Vision Dominant,"As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm","As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",images/mathverse_images/image_44.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",mathverse_cot
49,10,Vision Dominant,"As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°","As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",images/mathverse_images/image_49.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",mathverse_cot
