path,annotation_type,shape_color,background_color,size,prompt,shape
"images/VC_CoT/123_random_triangle_on_cross_0_size1.3_scolor-(255, 0, 0)_bcolor-(255, 255, 255)_annotated.png",CoT_123_random,"255, 0, 0","255, 255, 255",1.3,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_100_size1.5_scolor-(0, 255, 255)_bcolor-(255, 255, 255)_annotated.png",CoT_123_random,"0, 255, 255","255, 255, 255",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_101_size1.5_scolor-(0, 255, 255)_bcolor-(0, 0, 0)_annotated.png",CoT_123_random,"0, 255, 255","0, 0, 0",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_102_size1.5_scolor-(0, 255, 255)_bcolor-(255, 0, 0)_annotated.png",CoT_123_random,"0, 255, 255","255, 0, 0",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_103_size1.5_scolor-(0, 255, 255)_bcolor-(0, 0, 255)_annotated.png",CoT_123_random,"0, 255, 255","0, 0, 255",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_104_size1.5_scolor-(0, 127, 255)_bcolor-(255, 255, 255)_annotated.png",CoT_123_random,"0, 127, 255","255, 255, 255",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_105_size1.5_scolor-(0, 127, 255)_bcolor-(0, 0, 0)_annotated.png",CoT_123_random,"0, 127, 255","0, 0, 0",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_106_size1.5_scolor-(0, 127, 255)_bcolor-(255, 0, 0)_annotated.png",CoT_123_random,"0, 127, 255","255, 0, 0",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_107_size1.5_scolor-(0, 127, 255)_bcolor-(0, 0, 255)_annotated.png",CoT_123_random,"0, 127, 255","0, 0, 255",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
"images/VC_CoT/123_random_triangle_on_cross_108_size1.5_scolor-(0, 0, 255)_bcolor-(255, 255, 255)_annotated.png",CoT_123_random,"0, 0, 255","255, 255, 255",1.5,Observe the shape in the image carefully. List all numbers you see in the image. Count the total number of numbers you observe. Each number is associated with a side of this shape. How many sides does this shape have?,arrow_on_plus/triangle_on_cross
